Date,Den_MaxTemp,Den_MinTemp,Den_AvgTemp,Den_AvgTempDepart,Den_HDD,Den_CDD,Den_Precip,Den_Snowfall,Den_SnowDepth,Bri_MaxTemp,Bri_MinTemp,Bri_AvgTemp,Bri_AvgTempDepart,Bri_HDD,Bri_CDD,Bri_Precip,Bri_Snowfall,Bri_SnowDepth,Lake_MaxTemp,Lake_MinTemp,Lake_AvgTemp,Lake_AvgTempDepart,Lake_HDD,Lake_CDD,Lake_Precip,Lake_Snowfall,Lake_SnowDepth,Cent_MaxTemp,Cent_MinTemp,Cent_AvgTemp,Cent_AvgTempDepart,Cent_HDD,Cent_CDD,Cent_Precip,Cent_Snowfall,Cent_SnowDepth,Den-Lake_MaxTemp,Den-Cent_MaxTemp,Den-Bri_MaxTemp,Lake-Cent_MaxTemp,Den-Lake_MinTemp
8/8/2024,91,58,74.5,-1.8,0,10,0,0,0,93,60,76.5,3.1,0,12,0,0,0,88,60,74,2.1,0,9,0.01,0,0,76,59,67.5,-4.5,0,3,0.23,M,M,3,15,-2,12,-2
8/9/2024,77,58,67.5,-8.6,0,3,0.06,0,0,70,57,63.5,-9.8,1,0,0.02,0,0,72,56,64,-7.8,1,0,0.14,0,0,64,56,60,-11.9,5,0,0.05,M,M,5,13,7,8,2
8/10/2024,67,57,62,-14,3,0,0,0,0,70,54,62,-11.1,3,0,0.02,0,0,65,55,60,-11.7,5,0,0.18,0,0,84,56,70,-1.8,0,5,0.33,M,M,2,-17,-3,-19,2
8/11/2024,87,57,72,-3.8,0,7,0.01,0,0,85,58,71.5,-1.5,0,7,0,0,0,82,58,70,-1.5,0,5,0.03,0,0,85,58,71.5,-0.1,0,7,0,M,M,5,2,2,-3,-1
8/12/2024,84,60,72,-3.7,0,7,0.03,0,0,90,58,74,1.2,0,9,0,0,0,86,59,72.5,1.1,0,8,M,0,0,86,56,71,-0.5,0,6,0.14,M,M,-2,-2,-6,0,1
8/13/2024,87,62,74.5,-1.1,0,10,0.01,0,0,91,62,76.5,3.8,0,12,0,0,0,84,63,73.5,2.3,0,9,0,0,0,85,61,73,1.7,0,8,0.18,M,M,3,2,-4,-1,-1
8/14/2024,86,60,73,-2.4,0,8,0.01,0,0,89,56,72.5,0,0,8,0.15,0,0,83,58,70.5,-0.6,0,6,0.15,0,0,87,57,72,0.8,0,7,T,M,M,3,-1,-3,-4,2
8/15/2024,94,60,77,1.8,0,12,0,0,0,90,55,72.5,0.2,0,8,0.36,0,0,88,57,72.5,1.6,0,8,0.01,0,0,84,59,71.5,0.5,0,7,0.03,M,M,6,10,4,4,3
8/16/2024,89,60,74.5,-0.6,0,10,0,0,0,87,56,71.5,-0.7,0,7,0,0,0,85,56,70.5,-0.3,0,6,0,0,0,90,57,73.5,2.6,0,9,0,M,M,4,-1,2,-5,4
8/17/2024,95,60,77.5,2.6,0,13,0,0,0,94,55,74.5,2.5,0,10,0,0,0,91,63,77,6.4,0,12,0,0,0,94,61,77.5,6.8,0,13,0,M,M,4,1,1,-3,-3
