Ref ID,Genus,Species,Sex,Sex Confidence ,Age (years),Age Confidence ,Social with other parrots? ,Social with conspecifics?,"""mimicry"" sounds count","""phrase"" count","""word"" count",Improvisation/ word reorganization,Contextual use of mimicry,,,,,,,,,,,,,,,,,,,,
54,Amazona,auropalliata,Male,High,41,,No,No,30,3,12,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
461,Amazona,auropalliata,Female,Low,36,Medium,Yes,Yes,1,20,50,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
619,Amazona,auropalliata,Male,High,25,High,No,No,4,10,10,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
806,Amazona,auropalliata,Female,Medium,19.5,High,Yes,Yes,3,6,29,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
127,Amazona,auropalliata,Female,Low,30,Low,Yes,Yes,5,3,8,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
701,Amazona,auropalliata,Unknown,,1,High,Yes,No,3,4,9,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
377,Amazona,auropalliata,Male,Medium,30,Medium,Yes,Yes,5,20,100,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
380,Amazona,auropalliata,Female,High,50,Medium,No,,20,20,50,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
281,Amazona,auropalliata,Male,High,,,Yes,No,4,1,4,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
359,Amazona,auropalliata,Female,High,36,Low,No,,10,2,9,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
167,Amazona,autumnalis,Male,Low,28,High,No,,20,5,14,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
868,Amazona,autumnalis,Unknown,,41,Medium,No,,7,1,2,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
586,Amazona,autumnalis,Male,Medium,35,Medium,No,No,6,1,3,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
752,Amazona,brasiliensis,Unknown,,2,High,Yes,No,3,40,100,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
105,Amazona,brasiliensis,Unknown,,35,High,No,,3,12,11,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
106,Amazona,brasiliensis,Unknown,Medium,15,Medium,No,,3,20,5,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
753,Amazona,brasiliensis,Unknown,,25,High,No,,2,8,23,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
374,Amazona,leucocephala,Female,High,1.5,Medium,Yes,No,3,5,9,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
215,Amazona,ochrocephala,Female,Low,3.5,High,No,,6,12,40,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
241,Amazona,ochrocephala,Female,Medium,40,Low,No,,4,0,3,Never,Frequently,,,,,,,,,,,,,,,,,,,,
